pass_id;timestamp;stationRef;vehicleRef;charge
XZNB594537;26/1/2021 5:27;OO01;QR03XCJ37459;2.5
UCTM523192;27/6/2021 21:16;OO04;RK48BOP88344;2.8
JJZJ336649;30/7/2021 19:28;KO07;QO77TFN61853;2.2
FXZQ550253;7/6/2021 15:14;NE15;MQ65WJJ60020;1.0
YASU592676;7/1/2021 3:28;AO04;HT62RDI04611;2.8
EVAO624189;29/4/2020 7:25;AO15;BM25PHF40639;13.0
CJSF763194;11/8/2020 1:23;NE02;VX68BAR38623;1.5
WTLS131200;7/4/2020 6:37;MR00;IZ65WAT29135;2.0
APFG009978;27/3/2020 16:15;OO07;RK48BOP88344;2.8
JFJJ818455;7/9/2021 4:06;GF00;BY85QGR11636;2.5
HJSR346118;8/5/2020 17:52;MR05;XV91YMP27722;2.5
QXSE581075;20/9/2021 0:45;AO11;BZ76ROL87339;1.0
JEEO998031;8/5/2021 17:48;AO14;BZ76ROL87339;1.0
TUGG007148;31/3/2021 2:18;EG01;TE24LCO18661;1.3
LTBJ807594;25/3/2020 20:49;GF00;IO09FGE68100;2.8
NTPV309886;26/10/2021 3:36;AO15;XE59BZM26378;2.8
HSHQ268891;5/3/2020 1:02;KO01;QW79CHL42244;2.8
EPFJ346007;9/7/2021 2:21;EG05;CM15YCB60994;2.0
LIHE302239;26/7/2020 4:22;KO09;QW79CHL42244;2.8
DBHF883098;1/10/2020 5:36;OO11;JF94VYA88954;2.8
RDWX863730;17/7/2020 12:42;NE00;QP02SYE47964;2.8
UPYK165935;12/11/2020 9:09;KO01;IX01MVL33676;2.5
CJHN552681;27/7/2021 4:26;KO05;IZ65WAT29135;1.5
MTJO908351;15/4/2021 16:30;AO18;MX39VOS38645;2.8
MDPZ447375;17/2/2021 3:27;MR07;EZ65FLV39493;2.8
TUDV403038;3/5/2020 3:35;KO03;FL13UMN92207;1.0
KIRE133100;19/2/2020 5:24;NE01;PM58XHX45588;1.5
WNKT056190;21/8/2021 17:36;GF00;CK97FAU13897;2.5
WTKM436961;1/2/2021 9:15;MR04;KF48RSD79865;2.8
BFGA127556;19/3/2020 7:17;GF00;YX66XYW62640;3.1
QEEO620053;16/4/2020 12:32;AO04;YL27IFD65117;2.0
OZPF998219;19/5/2020 2:36;MR00;HE38BQH01623;2.8
GWVE105755;20/6/2021 13:14;KO05;WY00MLL63827;1.0
ZZGK340841;29/10/2020 13:19;KO05;IX01MVL33676;2.5
RVTT430340;12/12/2021 5:18;AO12;DP11ENT03275;3.1
WVYS475765;16/10/2021 10:47;KO08;QW79CHL42244;2.8
JFYK207428;18/11/2020 9:43;GF00;MP14WFM40909;2.8
QWYE502204;4/12/2020 0:57;EG07;EC02LZC49528;2.8
JGFO422374;23/12/2021 22:38;NE12;EG95RTB75032;2.8
GXYO427070;12/6/2020 23:45;OO05;EM54HQI58682;2.8
PYVN148850;14/3/2021 17:12;EG01;TE24LCO18661;1.3
TPWZ310406;11/5/2020 6:22;NE06;XV91YMP27722;1.5
BESO819142;9/10/2021 15:54;EG09;TV81MAQ99005;2.8
TKYA782479;6/11/2020 22:48;KO05;QO77TFN61853;2.2
SGCY423753;27/2/2020 17:40;OO01;WY00MLL63827;2.8
LRQF756445;19/6/2020 1:59;AO02;PE73VJU23485;2.8
NUUZ528025;21/9/2021 21:09;NE07;PD45WOT56494;1.5
FRMR399259;12/5/2020 18:48;AO05;YL27IFD65117;2.0
VSGR483387;21/4/2021 18:36;NE09;FY47TUN40300;1.0
WMNQ051799;15/6/2020 14:59;NE07;NY14GZR94632;2.8
HVLD252045;23/2/2020 16:04;GF00;PF04UCA93312;3.1
VZZT660174;19/4/2020 16:28;AO05;DV04FQL29609;3.1
OPXW292222;21/5/2021 0:52;OO04;RK48BOP88344;2.8
HXHF906781;12/6/2021 2:06;OO05;AT19HLV57173;2.8
RAQQ997203;16/12/2020 17:37;AO17;OC94ASJ72024;1.0
XDQM257701;2/4/2020 3:40;KO05;ED51EWW52190;1.0
ARHC752329;14/12/2021 17:10;OO06;UA13YTK28483;2.5
ZSSW869557;10/8/2021 3:33;OO01;AT19HLV57173;2.8
JWJZ806005;18/1/2021 11:59;OO05;RK48BOP88344;2.8
YTDB959688;7/1/2020 5:51;NE15;BI87HYL81972;2.2
LURS732088;15/9/2020 7:09;KO06;KB55KTM48860;2.5
QBXE938092;20/4/2021 0:42;AO15;BZ76ROL87339;1.0
EMFV656095;18/11/2020 13:24;KO06;IX01MVL33676;2.5
BHRZ082921;8/8/2021 7:07;GF00;BY85QGR11636;2.5
GAGS443684;25/3/2021 11:15;EG07;TV81MAQ99005;2.8
VYSY136583;18/5/2020 7:52;MR06;UA13YTK28483;2.8
EWTW752641;10/5/2021 12:17;AO08;DV04FQL29609;3.1
HUTD421642;6/10/2021 1:12;MR05;QO68DIC93032;2.5
XWNP163569;25/7/2020 23:09;MR00;HE38BQH01623;2.8
CEKD683590;8/1/2021 13:30;MR03;HR53SRO94328;13.0
ORMV798588;3/8/2021 2:35;OO02;PD45WOT56494;2.0
VNQN368508;3/1/2021 20:41;MR08;HE38BQH01623;2.8
XRER974092;11/3/2020 8:46;OO05;VJ92OYV94295;2.5
JKFI707370;30/9/2021 0:07;KO08;AY38OQF67603;1.5
HNGC468709;3/12/2021 22:17;OO02;XV40HUQ04740;1.0
BCXQ038051;2/5/2020 2:23;OO01;XV40HUQ04740;1.0
GPTN618703;23/5/2020 22:45;NE14;FY47TUN40300;1.0
TESW906346;24/7/2021 4:54;NE00;QU94IGC75528;2.8
CSDS653690;28/7/2021 5:16;MR05;QN23UHH39091;2.8
MWFF423294;5/11/2021 23:25;NE14;OY94SZK34436;2.5
YOLF113920;8/10/2020 20:39;KO05;MQ65WJJ60020;1.3
GTBX799176;25/2/2021 11:38;AO08;VL67TFO75321;2.8
IQPW104797;24/9/2021 20:30;NE13;QP02SYE47964;2.8
VMGU510619;26/11/2021 19:33;NE15;JV67MTI17124;2.5
BJZZ630087;30/11/2021 19:58;KO05;QO77TFN61853;2.2
CEWI995637;20/5/2020 22:01;KO03;JO50FSF60755;2.2
NPUV209017;22/4/2021 11:57;MR05;BI87HYL81972;1.0
QPAJ987903;17/2/2021 6:17;MR02;UA13YTK28483;2.8
UKOJ927272;22/5/2021 17:21;NE00;EM54HQI58682;3.1
CMIE435355;3/6/2021 12:27;EG07;IW53OQE31439;2.8
EAWN225021;24/10/2020 16:43;EG12;TE24LCO18661;1.3
ANJX124828;26/10/2020 23:45;MR08;KF48RSD79865;2.8
RZHX593323;5/6/2021 18:18;MR03;KF48RSD79865;2.8
KQUW212719;1/6/2020 21:37;GF00;PF04UCA93312;3.1
QQOC808293;5/3/2021 15:50;AO01;DP11ENT03275;3.1
AFFU571546;6/7/2020 21:00;AO13;RR73DWB65452;2.8
YCEO592272;25/8/2020 12:32;NE03;QP02SYE47964;2.8
TCFV522153;4/8/2020 0:40;OO01;AY38OQF67603;2.8
ZAYP994276;13/4/2021 6:19;EG10;CM15YCB60994;2.0
WJHZ702473;11/12/2020 5:24;NE05;VX68BAR38623;1.5
QIYR774020;3/10/2020 20:15;OO05;JF94VYA88954;2.8
LJBV925049;3/3/2020 18:24;MR07;RR98KQE80731;1.3
IIOK446781;21/1/2021 5:24;EG06;EC02LZC49528;2.8
HJFJ174078;9/2/2020 0:39;GF00;MP14WFM40909;2.8
LPHN927802;12/9/2021 20:10;NE15;EG95RTB75032;2.8
LBNX950718;19/6/2020 17:51;AO12;HT62RDI04611;2.8
QNVO461102;29/6/2020 20:00;MR02;QH15HWX24570;3.1
VGQO990624;2/10/2021 14:00;GF00;YX66XYW62640;3.1
TXQZ458552;6/11/2021 17:56;AO14;YL27IFD65117;2.0
CJNO863971;16/12/2021 1:47;EG12;EC02LZC49528;2.8
ANDC857070;29/7/2020 10:32;NE07;QR03XCJ37459;1.5
KIAA599276;30/6/2021 6:39;MR05;RR98KQE80731;1.3
TNTI766975;18/8/2021 18:55;NE08;EG95RTB75032;2.8
TVXI146921;8/11/2020 7:37;OO08;LC72NRN52084;1.3
YHZO130092;31/7/2020 20:36;OO03;IC95TLY24827;2.0
FNOF985875;28/7/2020 16:02;KO00;WY00MLL63827;1.0
ELSK641376;19/3/2020 1:39;AO15;XE59BZM26378;2.8
BQSX014849;1/1/2020 12:27;AO08;RR73DWB65452;2.8
DTKC100932;2/8/2021 0:01;KO08;MQ65WJJ60020;1.3
MOQA839905;26/2/2021 10:54;OO09;RK48BOP88344;2.8
AYBO084311;4/8/2021 2:39;MR06;UA13YTK28483;2.8
SLGK628970;23/6/2021 0:31;NE16;IA29IQS63679;1.0
YKUT777713;12/11/2021 1:15;OO13;LG64ARC91224;1.5
VBFG127165;19/10/2020 1:52;KO07;FY47TUN40300;2.8
SAGU907271;21/4/2020 12:55;GF00;SL09NOT64494;2.5
FJZI170354;6/2/2020 19:41;EG00;TZ48CCW54765;3.1
NZQJ969915;7/7/2020 21:10;OO03;XV40HUQ04740;1.0
EYHX760871;14/7/2021 8:54;NE06;NY14GZR94632;2.8
PNSC077770;24/11/2020 15:23;GF00;MA30QLI76818;2.5
KQDK034967;23/3/2020 21:18;GF00;BY85QGR11636;2.5
BYEA264834;19/10/2021 20:48;NE08;OY94SZK34436;1.0
RRYL155533;24/3/2020 21:52;GF00;BY85QGR11636;2.5
JXDG025274;27/6/2021 3:40;KO06;JO50FSF60755;2.2
DUPJ158411;26/9/2021 5:40;MR07;UA13YTK28483;2.8
EMUT912957;12/11/2020 13:41;GF00;BY85QGR11636;2.5
XWAW923782;6/5/2021 0:18;OO09;YX66XYW62640;1.0
LNLI083704;18/1/2021 14:51;KO09;IX01MVL33676;2.5
BLVJ161295;18/6/2020 3:39;MR07;HE38BQH01623;2.8
JBKE292016;9/2/2021 7:23;NE12;QP02SYE47964;2.8
XPPW804912;25/12/2020 1:46;GF00;PF04UCA93312;3.1
ZWQX918055;11/1/2020 19:14;OO07;JO50FSF60755;2.0
EORH295695;13/10/2021 22:13;MR02;UF84JOS00561;3.1
RDED868025;30/8/2021 0:00;AO05;YL27IFD65117;2.0
FCIH912883;16/8/2020 4:59;AO13;EM54HQI58682;2.8
YWOZ259623;22/2/2021 10:24;EG06;SL09NOT64494;2.2
KODH401768;27/9/2020 13:41;EG05;EC02LZC49528;2.8
UZRZ060690;12/5/2021 15:05;MR00;QO68DIC93032;2.5
VFUF900769;12/8/2021 6:46;NE02;FY47TUN40300;1.0
BLIW547587;1/4/2021 15:39;KO07;FL13UMN92207;1.0
BNBD516496;19/5/2020 2:58;NE02;AT19HLV57173;2.0
LLGQ912305;14/2/2020 15:42;OO12;BI87HYL81972;2.5
ZMOL304735;20/10/2021 8:08;OO10;QX75YWC61835;2.5
SXCG579915;7/11/2021 1:37;EG10;EV77EDV52985;1.3
KMZF225451;28/12/2020 9:17;GF00;UF84JOS00561;2.8
WJGR803011;28/1/2021 16:36;NE16;IA29IQS63679;1.0
GEGD777988;6/1/2021 1:12;OO05;DP11ENT03275;1.0
LQTP827238;20/4/2020 20:40;AO13;EV77EDV52985;2.8
YFYC856235;14/6/2021 23:54;NE13;EG95RTB75032;2.8
UXYA727199;10/4/2020 7:38;AO04;PE73VJU23485;2.8
MOTR160623;5/4/2021 3:53;KO01;WY00MLL63827;1.0
PPDB891182;28/4/2021 15:07;AO08;RK48BOP88344;2.8
IFUZ117942;17/7/2020 10:30;OO05;RK48BOP88344;2.8
IVCM806859;13/10/2020 13:35;AO12;LG64ARC91224;13.0
QISX349986;2/11/2020 17:31;EG10;CM15YCB60994;2.0
WIVD761673;10/3/2021 4:36;EG07;CR31GMR97972;1.5
XUDK711958;10/1/2021 7:13;NE00;OY94SZK34436;2.5
JXQS263670;21/2/2021 18:02;KO03;KB55KTM48860;2.5
WWKR790648;2/7/2021 1:39;OO04;AT19HLV57173;2.8
AMUK234916;7/6/2020 23:48;OO07;TV81MAQ99005;3.1
NCZK055951;9/2/2021 7:05;GF00;QN12NTR81378;2.8
FUQU214808;3/9/2021 10:09;MR06;QO68DIC93032;2.5
HQUN721587;18/11/2021 21:17;EG02;RK48BOP88344;2.5
HTOP478397;21/1/2020 10:31;OO04;SY96JDQ97089;2.0
QCAO175402;4/6/2020 13:01;NE07;UP28MBM38391;1.0
KSDG434328;13/2/2021 19:13;MR07;KF48RSD79865;2.8
XCYA607155;8/1/2020 19:33;AO17;JD78PQD35395;2.8
STAY092309;6/12/2020 17:33;AO01;BM25PHF40639;13.0
FTVM699351;17/1/2021 12:05;GF00;JE65QJK64802;2.8
GEAU785911;2/1/2020 2:26;AO04;EC02LZC49528;2.8
ENKH924870;10/8/2020 10:46;NE00;FY47TUN40300;1.0
CDBV372793;30/1/2020 5:00;AO13;FL13UMN92207;2.8
WTEB245564;1/6/2021 19:52;NE09;IA29IQS63679;1.0
SNCN592163;23/1/2020 7:01;OO03;LC72NRN52084;3.1
NLSJ138095;5/2/2020 21:20;GF00;CP56DAO45598;2.8
YXRC171390;11/3/2021 9:41;EG02;BI87HYL81972;1.0
HJFP263805;13/7/2021 8:04;NE13;QR03XCJ37459;1.5
IYHQ883687;15/1/2020 17:42;NE01;PD45WOT56494;2.0
KZUI154443;9/5/2021 1:44;MR04;LM86GYO69819;2.2
LBFO854254;4/10/2020 19:29;AO08;LG64ARC91224;13.0
YWHD989294;29/10/2020 6:27;GF00;PF04UCA93312;3.1
PNLW139922;28/11/2020 21:53;EG01;JD78PQD35395;1.0
YCHA350336;12/8/2021 21:32;NE08;ZY93PCY41868;1.3
GQPA098322;5/11/2021 8:01;OO02;HE38BQH01623;1.5
WWKS404806;25/11/2021 8:36;AO09;BM25PHF40639;13.0
RRMY197864;28/7/2020 13:36;AO05;DP11ENT03275;3.1
OPIV214583;16/6/2021 19:31;OO00;PD45WOT56494;1.5
MWJA765125;22/3/2021 5:08;MR03;IZ65WAT29135;2.0
KVXM579416;28/7/2021 12:17;NE05;QO68DIC93032;3.1
DOAP208998;7/1/2020 12:01;KO02;KB55KTM48860;2.5
DIQS524830;10/9/2021 15:15;KO06;WY00MLL63827;1.0
LKHS937512;14/3/2021 14:14;AO06;OC94ASJ72024;1.0
LYDB597075;13/4/2020 7:57;EG02;EC02LZC49528;2.8
DNCD469263;13/12/2020 22:58;GF00;PF04UCA93312;3.1
VEJF070750;11/12/2021 3:05;OO02;IC95TLY24827;2.0
GCJK773521;28/9/2020 9:05;KO08;ED51EWW52190;2.8
ULKS498332;7/1/2020 22:24;KO09;ED51EWW52190;2.8
GCSA979403;16/3/2020 12:22;OO01;IC95TLY24827;2.0
YJBN982079;20/4/2021 9:33;AO06;PE73VJU23485;2.8
NRNR114787;10/2/2020 16:25;EG08;XE59BZM26378;2.5
VKHJ339229;31/8/2021 20:44;GF00;PF04UCA93312;3.1
HPLV399202;11/3/2020 15:32;EG02;EC02LZC49528;2.8
BNDN208836;24/7/2020 13:26;KO01;QO77TFN61853;2.2
YTMP918407;23/7/2020 4:38;GF00;PF04UCA93312;3.1
TMLJ186407;26/1/2021 20:52;EG05;JD78PQD35395;1.0
PCNU317363;2/9/2020 18:58;KO00;IX01MVL33676;2.5
ZELN946943;19/6/2020 5:18;GF00;WU78BMX13511;1.0
TCOV581362;27/10/2020 22:05;NE07;VX68BAR38623;1.5
ASHR502300;28/9/2020 15:46;EG04;CM15YCB60994;2.0
QXJC365817;3/6/2021 23:11;KO05;QW79CHL42244;2.8
XVPZ240743;8/5/2021 12:46;GF00;MA30QLI76818;2.5
QOLH773520;27/6/2020 10:05;NE11;XF28DGK65250;1.0
SJQV426134;23/12/2021 7:41;KO08;QO77TFN61853;2.2
XYBY160573;20/2/2021 17:57;GF00;CK97FAU13897;2.5
ISUU409079;25/1/2021 16:38;NE07;WY00MLL63827;2.0
PEJQ457224;12/6/2021 16:37;MR02;UA13YTK28483;2.8
UJED987966;2/1/2021 2:12;MR07;EZ65FLV39493;2.8
LDUQ882797;26/2/2020 17:01;OO06;AT19HLV57173;2.8
WEVK914207;13/7/2020 22:40;OO01;JF94VYA88954;2.8
DOYY016826;28/9/2020 15:46;MR06;EC02LZC49528;2.5
UIMH506690;4/10/2020 11:07;EG12;QU94IGC75528;1.3
BCST095936;4/11/2021 2:18;OO13;IC95TLY24827;2.0
NSRV494456;5/4/2021 11:24;EG10;EC02LZC49528;2.8
OSCQ284661;1/3/2021 0:39;OO13;YX66XYW62640;2.5
ICJE965805;29/6/2020 16:02;OO09;QR03XCJ37459;2.8
PRUR475602;19/10/2021 22:15;MR00;UA13YTK28483;2.8
LEVU656925;29/12/2020 13:29;EG00;DW44ZOO26361;2.5
KHMM892627;15/7/2021 15:45;KO07;KB55KTM48860;2.5
AUTL092043;11/11/2021 10:01;OO01;AT19HLV57173;2.8
TVXK629104;5/12/2020 4:58;OO06;RK48BOP88344;2.8
HZFZ001609;1/8/2020 21:33;MR08;KF48RSD79865;2.8
BCCK818286;3/4/2021 17:12;KO01;KB55KTM48860;2.5
PGUV635037;14/6/2020 18:12;AO19;CR31GMR97972;2.8
UBHH106857;15/5/2021 19:12;EG01;TE24LCO18661;1.3
OLQP132633;22/11/2021 0:10;AO08;QW79CHL42244;2.8
YXVK405447;8/2/2021 20:06;NE00;NY14GZR94632;2.8
SVOI224134;26/8/2020 8:28;AO02;BZ76ROL87339;2.8
MDDI510774;2/8/2020 11:13;NE03;RR73DWB65452;2.8
RICF630547;3/5/2021 11:13;EG06;EC02LZC49528;2.8
TGBC831606;21/10/2020 14:24;KO04;KB55KTM48860;2.5
YNYK667617;11/4/2020 10:35;MR03;KF48RSD79865;2.8
XKOZ021021;5/10/2021 4:11;KO01;ED51EWW52190;2.8
JPYN917371;26/10/2021 11:19;GF00;WU78BMX13511;1.0
UXLB257224;29/1/2021 5:43;KO00;MQ65WJJ60020;1.3
BDGE588198;25/6/2020 2:38;OO01;AT19HLV57173;2.8
FPDJ619777;15/7/2020 14:40;KO02;MQ65WJJ60020;1.3
QOHI963280;20/5/2021 19:29;AO10;LG64ARC91224;13.0
EIVF053746;25/9/2021 12:51;EG12;QU94IGC75528;1.3
RRMZ270209;16/4/2020 23:29;MR07;MX39VOS38645;1.5
DIEF815568;16/11/2021 18:50;AO10;BZ76ROL87339;1.0
RTDE307544;13/12/2021 10:14;NE03;PM58XHX45588;1.5
MBUO949184;2/4/2020 11:47;AO09;OC94ASJ72024;1.0
KHHO725477;24/2/2020 13:46;KO05;IX01MVL33676;2.5
NDRT829097;31/8/2020 19:53;MR06;KF48RSD79865;2.8
LNLH949903;30/9/2020 23:00;OO03;WG11QVY31890;1.0
SMFK981865;7/5/2021 8:50;GF00;WU78BMX13511;1.0
FALA171563;17/1/2021 4:57;MR03;QO68DIC93032;2.5
LJVN896342;23/6/2021 12:39;MR04;IZ65WAT29135;1.3
SWGX598435;17/8/2021 7:17;AO18;SY96JDQ97089;1.5
GIKG596095;13/10/2020 1:30;MR01;MX39VOS38645;1.0
POXM400189;10/8/2021 18:32;NE00;PM58XHX45588;1.5
IQGE758169;16/6/2021 2:55;EG01;QU94IGC75528;1.3
RHOB273057;29/1/2020 22:39;OO05;XV40HUQ04740;1.0
WDJY655225;1/9/2020 21:45;NE07;FY47TUN40300;1.0
DJPQ727679;16/3/2020 1:47;OO06;RK48BOP88344;2.8
RGUP021524;10/1/2021 13:12;KO02;IX01MVL33676;2.5
ZFIG606895;17/1/2021 7:28;EG03;NZ35XLQ89678;3.1
BOND040414;17/12/2020 17:26;NE12;EG95RTB75032;2.8
RWVV742831;24/1/2021 3:48;GF00;QN12NTR81378;2.8
YWCM022944;12/10/2020 6:51;MR08;KF48RSD79865;2.8
AGTI774211;5/4/2021 21:50;MR05;DV04FQL29609;1.0
OZFE949596;1/10/2021 6:19;NE01;UP28MBM38391;1.0
EHSL863285;16/1/2021 18:09;MR08;IZ65WAT29135;2.0
SMRJ789480;13/10/2021 4:54;EG07;TV81MAQ99005;2.8
NYOS341723;28/4/2020 14:51;OO03;EE22TMX10817;2.0
RXPR191265;10/8/2021 16:27;GF00;CP56DAO45598;2.8
YLPC863189;26/4/2021 1:36;GF00;UF84JOS00561;2.8
LROI092935;8/1/2020 11:43;KO08;IX01MVL33676;2.5
ZEZB527245;13/8/2020 15:08;OO06;QR03XCJ37459;2.8
OQIH641319;5/5/2021 6:04;AO13;VX68BAR38623;2.8
QBOD117815;5/4/2020 11:56;AO00;DV04FQL29609;3.1
IQZV002825;14/12/2020 22:25;GF00;PF04UCA93312;3.1
FRPA422568;5/3/2021 18:17;AO10;YH66OKD41942;2.8
KDQD067261;29/11/2020 6:49;NE04;JV67MTI17124;2.5
MJIM767790;5/7/2021 8:00;NE13;EG95RTB75032;2.8
IJZX091352;27/5/2021 6:43;GF00;BY85QGR11636;2.5
BXQR712667;3/11/2021 23:39;EG06;TZ48CCW54765;3.1
OLJA013851;3/3/2020 4:02;KO07;KB55KTM48860;2.5
IBCV088478;17/8/2020 21:10;KO09;IX01MVL33676;2.5
BCTR825264;10/7/2021 19:17;NE11;UP28MBM38391;1.0
XZHX716351;24/6/2021 16:01;AO03;DV04FQL29609;3.1
INBI096776;29/3/2020 15:32;KO03;ED51EWW52190;2.8
VRBD582963;17/3/2020 5:04;MR07;EZ65FLV39493;2.8
GRAU134889;26/1/2021 4:07;GF00;BY85QGR11636;2.5
UYDE791912;8/10/2021 13:37;GF00;UF84JOS00561;2.8
BQAG869330;20/12/2020 5:06;OO02;QX75YWC61835;2.5
XDTN473020;1/10/2020 21:07;MR00;QO68DIC93032;2.5
CACN588223;11/8/2020 20:08;EG09;CM15YCB60994;2.0
PWWG326511;13/6/2021 23:47;AO17;LG64ARC91224;13.0
SIKX217132;24/4/2021 11:02;AO05;BM25PHF40639;13.0
LFMI648601;5/3/2020 23:10;NE14;FY47TUN40300;1.0
ADNW729946;13/8/2021 8:51;AO05;MX39VOS38645;2.8
GMVC502172;5/3/2021 5:41;NE11;RR98KQE80731;2.5
KKGS354803;24/8/2020 18:58;GF00;UF84JOS00561;2.8
XIYL439990;5/5/2020 14:44;NE14;EV77EDV52985;1.0
RYSM261746;25/4/2020 21:50;AO18;DP11ENT03275;3.1
OYOE890242;19/2/2021 7:10;AO09;YH66OKD41942;2.8
ZQDJ668518;3/4/2021 21:34;EG11;EC02LZC49528;2.8
QXEO082165;29/10/2021 22:09;AO17;QH15HWX24570;2.8
MXDC387175;1/10/2020 20:20;MR01;EZ65FLV39493;1.5
CTLZ261744;20/1/2021 2:12;AO07;PD45WOT56494;2.8
XYDY611889;12/5/2020 14:15;NE05;NO82BAX82566;3.1
HAWC418180;2/8/2021 15:12;GF00;PF04UCA93312;3.1
NJPL298369;2/10/2020 10:27;EG08;YL27IFD65117;1.5
PSJN585657;25/1/2020 10:18;EG09;CM15YCB60994;2.0
MIKQ604569;16/6/2021 5:33;OO11;WG11QVY31890;1.0
GKSI362100;8/4/2021 18:55;OO09;VJ92OYV94295;2.5
ZTHE511830;8/2/2021 23:41;OO00;RR98KQE80731;2.8
IFQF557539;2/1/2020 8:53;MR06;BI87HYL81972;1.0
JWNH251825;16/12/2021 15:55;AO04;YL27IFD65117;2.0
OTYD519816;1/12/2021 15:31;MR00;YX66XYW62640;1.0
HEPN623548;28/12/2021 16:42;AO18;LG64ARC91224;13.0
UUMI148261;5/10/2021 5:07;OO00;AY38OQF67603;3.1
SESQ082307;30/8/2021 16:53;NE00;CM15YCB60994;2.5
VBXV394733;15/1/2020 7:29;AO02;VL67TFO75321;2.8
PTUH817329;17/1/2021 4:28;KO08;RV87TIY76692;2.0
IDES092407;28/12/2021 5:31;OO06;VJ92OYV94295;2.5
JSBU325132;11/9/2020 21:53;OO07;JD78PQD35395;1.3
LNTC699946;25/4/2021 21:00;OO00;QR03XCJ37459;2.8
UUWW071887;13/7/2021 4:39;MR07;BI87HYL81972;1.0
EUNN346852;11/6/2021 21:43;NE00;PD45WOT56494;2.0
WGBB525663;4/3/2020 8:47;AO01;MX39VOS38645;2.8
LQVG262478;22/7/2021 18:50;GF00;PF04UCA93312;3.1
FZJM197601;19/7/2021 18:13;KO05;HW75BKT77773;2.2
VYJH111249;13/12/2021 3:31;AO11;PE73VJU23485;2.8
WJJU313880;5/12/2021 1:22;OO04;IC95TLY24827;2.0
XKHX836703;31/8/2020 1:48;AO19;YL27IFD65117;2.0
UHAQ119714;14/5/2021 10:44;NE05;PD45WOT56494;2.0
FVRD363874;3/3/2021 9:27;GF00;MA30QLI76818;2.5
CBBJ223261;25/11/2021 14:01;EG01;VL67TFO75321;13.0
ZWZK508621;23/6/2020 12:49;OO13;WG11QVY31890;2.0
XJUW550051;11/4/2021 21:55;EG05;CM15YCB60994;2.0
JSTD362642;25/8/2020 11:32;KO06;FL13UMN92207;1.0
BYUP909532;13/10/2021 16:30;EG10;CM15YCB60994;3.1
MCAV063057;21/8/2021 15:46;OO03;JF94VYA88954;2.8
